t,dt,o,h,l,c,v
1788373920,2026-09-02 18:32:00,4375.06,4376.1,4374.68,4375.79,438.0
1788373980,2026-09-02 18:33:00,4375.81,4378.14,4375.78,4378.1,433.0
1788374040,2026-09-02 18:34:00,4378.09,4378.09,4376.32,4376.59,444.0
1788374100,2026-09-02 18:35:00,4376.6,4378.01,4376.59,4377.07,357.0
1788374160,2026-09-02 18:36:00,4377.08,4377.51,4375.97,4376.45,438.0
1788374220,2026-09-02 18:37:00,4376.44,4376.62,4375.31,4376.39,410.0
1788374280,2026-09-02 18:38:00,4376.4,4376.58,4375.81,4375.84,387.0
1788374340,2026-09-02 18:39:00,4375.87,4376.81,4375.65,4376.24,387.0
1788374400,2026-09-02 18:40:00,4376.25,4376.62,4376.11,4376.19,362.0
1788374460,2026-09-02 18:41:00,4376.2,4376.24,4374.56,4374.58,436.0
1788374520,2026-09-02 18:42:00,4374.6,4374.77,4373.89,4373.91,393.0
1788374580,2026-09-02 18:43:00,4373.9,4374.18,4373.5,4373.77,298.0
1788374640,2026-09-02 18:44:00,4373.78,4374.0,4372.51,4373.03,335.0
1788374700,2026-09-02 18:45:00,4372.98,4373.56,4372.81,4373.06,439.0
1788374760,2026-09-02 18:46:00,4373.06,4373.25,4372.57,4373.25,378.0
1788374820,2026-09-02 18:47:00,4373.24,4373.74,4372.98,4373.02,331.0
1788374880,2026-09-02 18:48:00,4373.0,4374.11,4372.84,4373.99,435.0
1788374940,2026-09-02 18:49:00,4373.98,4374.66,4373.69,4373.99,480.0
1788375000,2026-09-02 18:50:00,4373.99,4375.69,4373.73,4374.98,424.0
1788375060,2026-09-02 18:51:00,4374.98,4375.75,4374.98,4375.74,461.0
1788375120,2026-09-02 18:52:00,4375.74,4375.74,4374.82,4375.23,412.0
1788375180,2026-09-02 18:53:00,4375.23,4375.85,4375.04,4375.51,294.0
1788375240,2026-09-02 18:54:00,4375.51,4375.68,4373.87,4374.71,365.0
1788375300,2026-09-02 18:55:00,4374.71,4375.34,4374.53,4375.09,372.0
1788375360,2026-09-02 18:56:00,4375.07,4375.1,4374.08,4374.81,381.0
1788375420,2026-09-02 18:57:00,4374.82,4374.98,4373.75,4373.75,364.0
1788375480,2026-09-02 18:58:00,4373.74,4373.74,4372.7,4372.71,346.0
1788375540,2026-09-02 18:59:00,4372.72,4374.11,4372.6,4374.11,378.0
1788375600,2026-09-02 19:00:00,4374.1,4374.63,4371.76,4372.19,507.0
1788375660,2026-09-02 19:01:00,4372.21,4373.54,4372.21,4372.84,520.0
1788375720,2026-09-02 19:02:00,4372.89,4373.43,4372.52,4373.34,396.0
1788375780,2026-09-02 19:03:00,4373.35,4375.14,4373.35,4375.04,462.0
1788375840,2026-09-02 19:04:00,4375.05,4375.18,4374.89,4375.03,465.0
1788375900,2026-09-02 19:05:00,4375.01,4375.89,4374.79,4375.34,452.0
1788375960,2026-09-02 19:06:00,4375.35,4375.74,4375.22,4375.55,370.0
1788376020,2026-09-02 19:07:00,4375.55,4376.66,4375.54,4375.93,422.0
1788376080,2026-09-02 19:08:00,4375.94,4376.34,4375.74,4375.76,448.0
1788376140,2026-09-02 19:09:00,4375.77,4377.39,4375.58,4377.07,464.0
1788376200,2026-09-02 19:10:00,4377.07,4377.51,4376.46,4376.98,425.0
1788376260,2026-09-02 19:11:00,4376.95,4377.53,4376.74,4377.02,354.0
1788376320,2026-09-02 19:12:00,4377.02,4380.32,4376.99,4379.27,443.0
1788376380,2026-09-02 19:13:00,4379.28,4379.53,4378.95,4378.95,327.0
1788376440,2026-09-02 19:14:00,4378.95,4379.23,4378.5,4379.18,391.0
1788376500,2026-09-02 19:15:00,4379.19,4380.23,4379.16,4379.33,512.0
1788376560,2026-09-02 19:16:00,4379.34,4379.55,4378.23,4378.89,357.0
1788376620,2026-09-02 19:17:00,4378.91,4379.35,4378.53,4378.85,367.0
1788376680,2026-09-02 19:18:00,4378.86,4379.81,4378.62,4378.66,384.0
1788376740,2026-09-02 19:19:00,4378.67,4380.05,4378.67,4379.57,516.0
1788376800,2026-09-02 19:20:00,4379.58,4379.63,4378.41,4378.56,411.0
1788376860,2026-09-02 19:21:00,4378.56,4379.54,4378.56,4379.42,368.0
1788376920,2026-09-02 19:22:00,4379.43,4379.82,4379.03,4379.82,385.0
1788376980,2026-09-02 19:23:00,4379.8,4380.77,4379.41,4379.8,526.0
1788377040,2026-09-02 19:24:00,4379.8,4381.04,4379.63,4379.94,421.0
1788377100,2026-09-02 19:25:00,4379.95,4382.3,4379.83,4382.25,496.0
1788377160,2026-09-02 19:26:00,4382.23,4383.11,4381.94,4382.08,517.0
1788377220,2026-09-02 19:27:00,4382.08,4382.1,4381.08,4381.22,390.0
1788377280,2026-09-02 19:28:00,4381.21,4382.44,4381.05,4381.53,414.0
1788377340,2026-09-02 19:29:00,4381.54,4382.09,4380.68,4381.1,387.0
1788377400,2026-09-02 19:30:00,4381.11,4382.81,4381.11,4382.33,551.0
1788377460,2026-09-02 19:31:00,4382.31,4382.42,4381.51,4381.98,448.0
1788377520,2026-09-02 19:32:00,4381.98,4382.94,4381.77,4382.64,459.0
1788377580,2026-09-02 19:33:00,4382.65,4382.89,4382.38,4382.48,425.0
1788377640,2026-09-02 19:34:00,4382.5,4384.1,4382.29,4383.82,575.0
1788377700,2026-09-02 19:35:00,4383.83,4383.83,4382.45,4382.53,414.0
1788377760,2026-09-02 19:36:00,4382.53,4382.53,4381.48,4381.79,396.0
1788377820,2026-09-02 19:37:00,4381.79,4383.06,4381.26,4382.75,456.0
1788377880,2026-09-02 19:38:00,4382.72,4383.47,4382.61,4383.32,481.0
1788377940,2026-09-02 19:39:00,4383.31,4384.15,4383.22,4384.06,436.0
1788378000,2026-09-02 19:40:00,4384.03,4384.66,4383.51,4384.43,404.0
1788378060,2026-09-02 19:41:00,4384.43,4385.17,4384.22,4385.01,441.0
1788378120,2026-09-02 19:42:00,4385.01,4385.31,4384.47,4384.72,443.0
1788378180,2026-09-02 19:43:00,4384.73,4386.92,4384.72,4386.74,512.0
1788378240,2026-09-02 19:44:00,4386.76,4388.68,4386.73,4388.0,543.0
1788378300,2026-09-02 19:45:00,4388.01,4388.87,4386.04,4386.04,495.0
1788378360,2026-09-02 19:46:00,4386.07,4386.59,4385.17,4385.41,439.0
1788378420,2026-09-02 19:47:00,4385.41,4385.94,4384.99,4385.94,369.0
1788378480,2026-09-02 19:48:00,4385.95,4386.26,4385.15,4385.21,447.0
1788378540,2026-09-02 19:49:00,4385.23,4387.2,4385.02,4386.59,467.0
1788378600,2026-09-02 19:50:00,4386.61,4389.05,4386.35,4388.97,706.0
1788378660,2026-09-02 19:51:00,4389.02,4389.76,4388.11,4388.42,559.0
1788378720,2026-09-02 19:52:00,4388.45,4389.67,4388.45,4388.78,425.0
1788378780,2026-09-02 19:53:00,4388.79,4388.95,4385.86,4386.02,500.0
1788378840,2026-09-02 19:54:00,4386.01,4387.5,4385.98,4387.38,469.0
1788378900,2026-09-02 19:55:00,4387.37,4387.37,4386.32,4386.43,603.0
1788378960,2026-09-02 19:56:00,4386.43,4387.64,4386.14,4387.54,496.0
1788379020,2026-09-02 19:57:00,4387.53,4388.2,4386.65,4387.08,422.0
1788379080,2026-09-02 19:58:00,4387.13,4388.96,4387.13,4388.5,702.0
1788379140,2026-09-02 19:59:00,4388.45,4391.25,4388.45,4391.18,940.0
1788379200,2026-09-02 20:00:00,4391.23,4391.5,4388.73,4389.49,670.0
1788379260,2026-09-02 20:01:00,4389.51,4390.31,4389.34,4390.05,458.0
1788379320,2026-09-02 20:02:00,4390.03,4390.21,4388.89,4389.33,343.0
1788379380,2026-09-02 20:03:00,4389.32,4389.8,4388.73,4389.57,365.0
1788379440,2026-09-02 20:04:00,4389.56,4390.59,4389.52,4390.47,251.0
1788379500,2026-09-02 20:05:00,4390.47,4391.05,4389.27,4389.27,350.0
1788379560,2026-09-02 20:06:00,4389.3,4389.67,4388.81,4389.42,246.0
1788379620,2026-09-02 20:07:00,4389.43,4389.71,4388.59,4388.59,244.0
1788379680,2026-09-02 20:08:00,4388.59,4389.0,4388.1,4388.22,213.0
1788379740,2026-09-02 20:09:00,4388.2,4388.48,4387.59,4387.86,272.0
1788379800,2026-09-02 20:10:00,4387.87,4388.27,4387.81,4388.09,225.0
1788379860,2026-09-02 20:11:00,4388.09,4388.63,4387.99,4388.22,254.0
1788379920,2026-09-02 20:12:00,4388.22,4388.45,4387.48,4387.51,331.0
1788379980,2026-09-02 20:13:00,4387.49,4387.93,4387.11,4387.66,343.0
1788380040,2026-09-02 20:14:00,4387.67,4387.76,4385.94,4385.99,239.0
1788380100,2026-09-02 20:15:00,4386.05,4386.29,4384.11,4385.17,657.0
1788380160,2026-09-02 20:16:00,4385.17,4385.48,4384.68,4384.9,380.0
1788380220,2026-09-02 20:17:00,4384.9,4385.97,4384.87,4385.91,341.0
1788380280,2026-09-02 20:18:00,4385.9,4385.92,4385.16,4385.3,430.0
1788380340,2026-09-02 20:19:00,4385.3,4385.37,4384.64,4385.1,298.0
1788380400,2026-09-02 20:20:00,4385.09,4385.26,4384.61,4384.83,252.0
1788380460,2026-09-02 20:21:00,4384.79,4385.02,4384.61,4384.9,169.0
1788380520,2026-09-02 20:22:00,4384.91,4385.21,4384.62,4384.98,214.0
1788380580,2026-09-02 20:23:00,4384.95,4385.6,4384.91,4385.53,182.0
1788380640,2026-09-02 20:24:00,4385.52,4385.77,4385.12,4385.53,275.0
1788380700,2026-09-02 20:25:00,4385.55,4387.79,4385.22,4387.52,262.0
1788380760,2026-09-02 20:26:00,4387.53,4387.53,4387.08,4387.15,124.0
1788380820,2026-09-02 20:27:00,4387.1,4387.24,4386.95,4387.24,198.0
1788380880,2026-09-02 20:28:00,4387.25,4387.39,4386.44,4386.75,196.0
1788380940,2026-09-02 20:29:00,4386.74,4386.86,4386.06,4386.39,235.0
1788381000,2026-09-02 20:30:00,4386.39,4386.39,4385.75,4386.09,249.0
1788381060,2026-09-02 20:31:00,4386.11,4387.13,4386.08,4387.12,152.0
1788381120,2026-09-02 20:32:00,4387.1,4387.81,4386.94,4387.72,182.0
1788381180,2026-09-02 20:33:00,4387.72,4387.87,4387.4,4387.87,169.0
1788381240,2026-09-02 20:34:00,4387.74,4387.79,4387.4,4387.45,142.0
1788381300,2026-09-02 20:35:00,4387.43,4387.75,4387.34,4387.43,208.0
1788381360,2026-09-02 20:36:00,4387.42,4387.59,4387.08,4387.34,231.0
1788381420,2026-09-02 20:37:00,4387.35,4387.36,4386.85,4387.09,157.0
1788381480,2026-09-02 20:38:00,4387.08,4387.67,4386.97,4387.46,195.0
1788381540,2026-09-02 20:39:00,4387.45,4387.57,4387.33,4387.5,130.0
1788381600,2026-09-02 20:40:00,4387.53,4388.96,4387.31,4388.78,185.0
1788381660,2026-09-02 20:41:00,4388.82,4389.02,4388.38,4388.71,167.0
1788381720,2026-09-02 20:42:00,4388.62,4388.86,4388.51,4388.79,133.0
1788381780,2026-09-02 20:43:00,4388.79,4389.78,4388.56,4389.71,174.0
1788381840,2026-09-02 20:44:00,4389.65,4389.65,4387.75,4387.9,209.0
1788381900,2026-09-02 20:45:00,4387.83,4388.26,4387.3,4387.77,126.0
1788381960,2026-09-02 20:46:00,4387.76,4388.25,4387.69,4388.12,115.0
1788382020,2026-09-02 20:47:00,4388.06,4388.71,4388.05,4388.69,127.0
1788382080,2026-09-02 20:48:00,4388.71,4389.57,4388.71,4389.29,124.0
1788382140,2026-09-02 20:49:00,4389.31,4389.51,4388.97,4388.99,108.0
1788382200,2026-09-02 20:50:00,4388.98,4390.58,4388.94,4390.37,160.0
1788382260,2026-09-02 20:51:00,4390.33,4390.62,4390.13,4390.32,128.0
1788382320,2026-09-02 20:52:00,4390.29,4390.36,4390.05,4390.35,78.0
1788382380,2026-09-02 20:53:00,4390.37,4390.55,4389.16,4389.36,125.0
1788382440,2026-09-02 20:54:00,4389.47,4389.83,4389.13,4389.15,117.0
1788382500,2026-09-02 20:55:00,4389.1,4389.18,4388.46,4388.6,164.0
1788382560,2026-09-02 20:56:00,4388.59,4388.78,4388.03,4388.34,204.0
1788382620,2026-09-02 20:57:00,4388.38,4388.38,4387.37,4387.37,121.0
1788382680,2026-09-02 20:58:00,4387.35,4388.03,4387.35,4388.0,168.0
1788382740,2026-09-02 20:59:00,4388.0,4388.59,4387.07,4387.07,220.0
1788386400,2026-09-02 22:00:00,4390.0,4391.99,4389.81,4391.12,318.0
1788386460,2026-09-02 22:01:00,4391.18,4391.64,4390.81,4391.55,118.0
1788386520,2026-09-02 22:02:00,4391.42,4393.08,4391.34,4393.04,150.0
1788386580,2026-09-02 22:03:00,4393.04,4393.26,4390.07,4391.27,211.0
1788386640,2026-09-02 22:04:00,4391.43,4391.51,4390.79,4391.4,91.0
1788386700,2026-09-02 22:05:00,4391.3,4391.3,4390.27,4390.5,158.0
1788386760,2026-09-02 22:06:00,4390.48,4391.82,4390.32,4391.2,134.0
1788386820,2026-09-02 22:07:00,4391.21,4391.47,4390.83,4390.88,89.0
1788386880,2026-09-02 22:08:00,4390.89,4390.9,4390.53,4390.72,68.0
1788386940,2026-09-02 22:09:00,4390.71,4390.91,4390.55,4390.57,77.0
1788387000,2026-09-02 22:10:00,4390.56,4390.7,4390.33,4390.56,112.0
1788387060,2026-09-02 22:11:00,4390.56,4391.28,4390.55,4391.13,83.0
1788387120,2026-09-02 22:12:00,4391.15,4391.34,4390.56,4390.58,106.0
1788387180,2026-09-02 22:13:00,4390.57,4391.44,4390.47,4391.16,107.0
1788387240,2026-09-02 22:14:00,4391.15,4391.15,4389.93,4389.99,74.0
1788387300,2026-09-02 22:15:00,4389.98,4390.15,4389.52,4389.54,81.0
1788387360,2026-09-02 22:16:00,4389.55,4389.96,4389.15,4389.21,144.0
1788387420,2026-09-02 22:17:00,4389.21,4389.45,4388.76,4388.77,110.0
1788387480,2026-09-02 22:18:00,4388.72,4388.75,4387.99,4388.0,128.0
1788387540,2026-09-02 22:19:00,4388.01,4389.16,4388.01,4388.53,169.0
1788387600,2026-09-02 22:20:00,4388.61,4389.13,4388.24,4388.33,158.0
1788387660,2026-09-02 22:21:00,4388.32,4388.83,4388.28,4388.58,148.0
1788387720,2026-09-02 22:22:00,4388.56,4388.99,4388.36,4388.74,128.0
1788387780,2026-09-02 22:23:00,4388.73,4389.5,4388.46,4389.41,171.0
1788387840,2026-09-02 22:24:00,4389.42,4389.59,4389.13,4389.59,133.0
1788387900,2026-09-02 22:25:00,4389.63,4389.81,4389.1,4389.23,102.0
1788387960,2026-09-02 22:26:00,4389.24,4390.86,4389.22,4390.84,191.0
1788388020,2026-09-02 22:27:00,4390.82,4390.91,4390.41,4390.49,104.0
1788388080,2026-09-02 22:28:00,4390.5,4390.66,4389.86,4389.86,108.0
1788388140,2026-09-02 22:29:00,4389.84,4389.92,4389.3,4389.83,148.0
1788388200,2026-09-02 22:30:00,4389.81,4389.84,4389.33,4389.35,85.0
1788388260,2026-09-02 22:31:00,4389.45,4389.45,4388.28,4388.63,119.0
1788388320,2026-09-02 22:32:00,4388.64,4389.36,4387.83,4389.2,238.0
1788388380,2026-09-02 22:33:00,4389.21,4389.56,4388.71,4388.92,132.0
1788388440,2026-09-02 22:34:00,4388.93,4388.96,4388.24,4388.24,83.0
1788388500,2026-09-02 22:35:00,4388.26,4388.56,4388.03,4388.23,140.0
1788388560,2026-09-02 22:36:00,4388.23,4388.3,4387.4,4387.5,109.0
1788388620,2026-09-02 22:37:00,4387.5,4388.19,4387.42,4388.19,94.0
1788388680,2026-09-02 22:38:00,4388.09,4388.22,4387.91,4387.97,104.0
1788388740,2026-09-02 22:39:00,4387.99,4388.12,4387.28,4387.63,119.0
1788388800,2026-09-02 22:40:00,4387.64,4387.99,4387.44,4387.47,92.0
1788388860,2026-09-02 22:41:00,4387.52,4387.75,4387.03,4387.14,111.0
1788388920,2026-09-02 22:42:00,4387.14,4387.23,4385.96,4385.96,110.0
1788388980,2026-09-02 22:43:00,4385.95,4386.11,4385.31,4385.96,142.0
1788389040,2026-09-02 22:44:00,4386.05,4386.1,4384.96,4385.14,130.0
1788389100,2026-09-02 22:45:00,4385.15,4385.32,4383.59,4384.25,162.0
1788389160,2026-09-02 22:46:00,4384.37,4385.13,4384.37,4384.71,105.0
1788389220,2026-09-02 22:47:00,4384.72,4384.81,4384.1,4384.59,181.0
1788389280,2026-09-02 22:48:00,4384.59,4384.72,4384.13,4384.13,126.0
1788389340,2026-09-02 22:49:00,4384.14,4384.47,4383.93,4384.09,130.0
1788389400,2026-09-02 22:50:00,4384.13,4384.91,4383.82,4384.91,151.0
1788389460,2026-09-02 22:51:00,4384.91,4385.17,4384.47,4384.52,82.0
1788389520,2026-09-02 22:52:00,4384.47,4384.83,4384.45,4384.67,57.0
1788389580,2026-09-02 22:53:00,4384.75,4384.75,4384.09,4384.27,65.0
1788389640,2026-09-02 22:54:00,4384.26,4384.51,4384.22,4384.51,47.0
1788389700,2026-09-02 22:55:00,4384.54,4384.76,4384.44,4384.48,107.0
1788389760,2026-09-02 22:56:00,4384.5,4384.71,4384.5,4384.61,61.0
1788389820,2026-09-02 22:57:00,4384.61,4384.87,4384.61,4384.84,63.0
1788389880,2026-09-02 22:58:00,4384.91,4385.0,4384.52,4384.65,62.0
1788389940,2026-09-02 22:59:00,4384.63,4384.75,4384.61,4384.69,56.0
