timestamp,order_id,position_id,track_id,side,qty,entry_price,exit_price,tp_price,sl_price,duration_sec,gross_pnl,commission,net_pnl,close_reason,balance
2026-09-08 11:12:14.382,360287970300000179,360287970300000177,A,SELL,0.1,4395.26,4393.26,4393.26,4394.26,114.3,20.00,0.70,19.30,WIN_TP,4776.36
2026-09-08 11:22:50.795,360287970300000200,360287970300000191,A,BUY,0.1,4399.89,4399.77,4401.89,4399.77,4.9,-1.20,0.70,-1.90,STOP_LOSS,4774.46
2026-09-08 11:25:37.682,360287970300000211,360287970300000210,A,BUY,0.1,4401.60,4401.48,4403.60,4401.48,4.9,-1.20,0.70,-1.90,STOP_LOSS,4772.56
2026-09-08 11:31:25.244,360287970300000223,360287970300000219,A,BUY,0.1,4401.65,4401.53,4403.65,4401.53,4.9,-1.20,0.70,-1.90,STOP_LOSS,4770.66
2026-09-08 11:35:35.537,360287970300000230,360287970300000227,A,BUY,0.1,4405.40,4405.28,4407.40,4405.28,15.4,-1.20,0.70,-1.90,STOP_LOSS,4768.76
2026-09-08 11:40:26.923,360287970300000243,360287970300000242,A,BUY,0.1,4405.44,4405.32,4407.44,4405.32,4.9,-1.20,0.70,-1.90,STOP_LOSS,4766.86
2026-09-08 11:45:25.304,360287970300000265,360287970300000257,A,BUY,0.1,4404.32,4404.20,4406.32,4404.20,4.9,-1.20,0.70,-1.90,STOP_LOSS,4764.96
2026-09-08 11:50:45.760,360287970300000289,360287970300000283,A,BUY,0.1,4402.17,4402.05,4404.17,4402.05,5.9,-1.20,0.70,-1.90,STOP_LOSS,4763.06
2026-09-08 11:58:39.774,360287970300000308,360287970300000302,A,BUY,0.1,4401.40,4403.40,4403.40,4402.40,195.1,20.00,0.70,19.30,WIN_TP,4782.36
2026-09-08 11:58:55.915,360287970300000344,360287970300000336,C,SELL,0.03,4405.45,4405.57,4402.12,4405.57,9.3,-0.36,0.21,-0.57,STOP_LOSS,4781.79
2026-09-08 11:58:58.358,360287970300000349,360287970300000329,C,BUY,0.03,4405.30,4405.18,4408.63,4405.18,11.8,-0.36,0.21,-0.57,STOP_LOSS,4781.22
2026-09-08 12:00:07.301,360287970300000358,360287970300000316,B,BUY,0.03,4405.00,4405.83,4408.33,4405.83,85.2,2.49,0.21,2.28,RATCHET_WIN,4783.50
2026-09-08 12:01:28.105,360287970300000375,360287970300000371,A,BUY,0.1,4405.39,4405.27,4407.39,4405.27,8.1,-1.20,0.70,-1.90,STOP_LOSS,4781.60
2026-09-08 12:06:03.188,360287970300000390,360287970300000386,A,BUY,0.1,4403.09,4403.20,4405.09,4403.20,20.7,1.10,0.70,0.40,BE_PROTECTED,4782.00
2026-09-08 12:15:24.967,360287970300000405,360287970300000398,A,SELL,0.1,4386.19,4386.31,4384.19,4386.31,5.0,-1.20,0.70,-1.90,STOP_LOSS,4780.10
2026-09-08 12:20:25.590,360287970300000428,360287970300000420,A,SELL,0.1,4387.44,4387.56,4385.44,4387.56,4.9,-1.20,0.70,-1.90,STOP_LOSS,4778.20
2026-09-08 12:28:36.411,360287970300000440,360287970300000438,A,SELL,0.1,4396.94,4397.06,4394.94,4397.06,4.9,-1.20,0.70,-1.90,STOP_LOSS,4776.30
2026-09-08 12:33:01.271,360287970300000456,360287970300000448,A,BUY,0.1,4404.00,4406.00,4406.00,4405.00,41.1,20.00,0.70,19.30,WIN_TP,4795.60
2026-09-08 12:37:05.244,360287970300000474,360287970300000465,A,BUY,0.1,4403.10,4402.98,4405.10,4402.98,11.4,-1.20,0.70,-1.90,STOP_LOSS,4793.70
2026-09-08 12:43:53.987,360287970300000493,360287970300000490,A,SELL,0.1,4396.61,4396.11,4394.61,4396.11,11.0,5.00,0.70,4.30,RATCHET_WIN,4798.00
2026-09-08 12:45:42.183,360287970300000504,360287970300000502,A,SELL,0.1,4395.88,4396.00,4393.88,4396.00,5.3,-1.20,0.70,-1.90,STOP_LOSS,4796.10
2026-09-08 12:50:32.927,360287970300000525,360287970300000519,A,BUY,0.1,4402.51,4402.39,4404.51,4402.39,5.4,-1.20,0.70,-1.90,STOP_LOSS,4794.20
2026-09-08 12:55:25.355,360287970300000544,360287970300000539,A,BUY,0.1,4404.11,4403.99,4406.11,4403.99,5.0,-1.20,0.70,-1.90,STOP_LOSS,4792.30
2026-09-08 13:02:29.868,360287970300000562,360287970300000555,A,BUY,0.1,4405.19,4405.07,4407.19,4405.07,4.8,-1.20,0.70,-1.90,STOP_LOSS,4790.40
2026-09-08 13:05:25.681,360287970300000572,360287970300000570,A,BUY,0.1,4406.84,4406.72,4408.84,4406.72,5.3,-1.20,0.70,-1.90,STOP_LOSS,4788.50
2026-09-08 13:10:29.026,360287970300000581,360287970300000579,A,BUY,0.1,4404.98,4404.86,4406.98,4404.86,6.4,-1.20,0.70,-1.90,STOP_LOSS,4786.60
2026-09-08 13:16:25.065,360287970300000597,360287970300000590,A,BUY,0.1,4408.75,4408.63,4410.75,4408.63,4.9,-1.20,0.70,-1.90,STOP_LOSS,4784.70
2026-09-08 13:20:41.824,360287970300000612,360287970300000607,A,BUY,0.1,4408.56,4408.44,4410.56,4408.44,5.0,-1.20,0.70,-1.90,STOP_LOSS,4782.80
2026-09-08 13:30:26.219,360287970300000619,360287970300000616,A,BUY,0.1,4404.42,4404.53,4406.42,4404.53,6.0,1.10,0.70,0.40,BE_PROTECTED,4783.20
2026-09-08 13:35:31.881,360287970300000627,360287970300000626,A,SELL,0.1,4397.74,4396.74,4395.74,4396.74,11.1,10.00,0.70,9.30,RATCHET_WIN,4792.50
2026-09-08 13:37:36.676,360287970300000043,360287970300000011,B,SELL,0.03,4397.07,4397.19,4393.74,4397.19,0.6,-0.36,0.21,-0.57,STOP_LOSS,4775.09
2026-09-08 13:37:36.680,360287970300000045,360287970300000038,C,SELL,0.03,4397.07,4397.19,4393.74,4397.19,0.6,-0.36,0.21,-0.57,STOP_LOSS,4774.52
2026-09-08 13:37:57.667,360287970300000054,360287970300000026,C,BUY,0.03,4397.15,4400.48,4400.48,4398.81,21.6,9.99,0.21,9.78,WIN_TP,4784.30
2026-09-08 13:39:48.333,360287970300000070,360287970300000064,A,SELL,0.1,4399.35,4399.47,4397.35,4399.47,4.9,-1.20,0.70,-1.90,STOP_LOSS,4782.40
2026-09-08 13:40:25.307,360287970300000077,360287970300000076,A,SELL,0.1,4397.07,4397.19,4395.07,4397.19,4.9,-1.20,0.70,-1.90,STOP_LOSS,4780.50
2026-09-08 13:45:47.825,360287970300000087,360287970300000086,A,SELL,0.1,4396.13,4395.13,4394.13,4395.13,6.0,10.00,0.70,9.30,RATCHET_WIN,4789.80
2026-09-08 13:50:24.224,360287970300000103,360287970300000101,A,BUY,0.1,4403.13,4403.01,4405.13,4403.01,0.5,-1.20,0.70,-1.90,STOP_LOSS,4787.90
2026-09-08 13:55:21.279,360287970300000112,360287970300000107,A,BUY,0.1,4405.90,4405.78,4407.90,4405.78,1.0,-1.20,0.70,-1.90,STOP_LOSS,4786.00
2026-09-08 14:02:21.718,360287970300000128,360287970300000122,A,SELL,0.1,4397.36,4397.48,4395.36,4397.48,1.5,-1.20,0.70,-1.90,STOP_LOSS,4784.10
2026-09-08 14:05:38.370,360287970300000148,360287970300000143,A,SELL,0.1,4400.73,4400.62,4398.73,4400.62,12.1,1.10,0.70,0.40,BE_PROTECTED,4784.50
2026-09-08 14:10:28.801,360287970300000161,360287970300000160,A,SELL,0.1,4396.62,4396.74,4394.62,4396.74,0.5,-1.20,0.70,-1.90,STOP_LOSS,4782.60
2026-09-08 14:16:24.526,360287970300000176,360287970300000167,A,SELL,0.1,4395.62,4395.74,4393.62,4395.74,1.0,-1.20,0.70,-1.90,STOP_LOSS,4780.70
2026-09-08 14:20:22.435,360287970300000198,360287970300000191,A,SELL,0.1,4396.95,4397.07,4394.95,4397.07,2.0,-1.20,0.70,-1.90,STOP_LOSS,4778.80
2026-09-08 14:28:55.142,360287970300000218,360287970300000209,A,SELL,0.1,4399.46,4399.58,4397.46,4399.58,1.0,-1.20,0.70,-1.90,STOP_LOSS,4776.90
2026-09-08 14:30:42.752,360287970300000239,360287970300000230,A,SELL,0.1,4395.57,4395.69,4393.57,4395.69,4.0,-1.20,0.70,-1.90,STOP_LOSS,4775.00
2026-09-08 14:36:30.030,360287970300000251,360287970300000250,A,SELL,0.1,4398.62,4398.74,4396.62,4398.74,7.0,-1.20,0.70,-1.90,STOP_LOSS,4773.10
2026-09-08 14:40:31.711,360287970300000271,360287970300000262,A,SELL,0.1,4395.12,4395.01,4393.12,4395.01,10.5,1.10,0.70,0.40,BE_PROTECTED,4773.50
2026-09-08 14:45:34.730,360287970300000284,360287970300000283,A,SELL,0.1,4396.26,4396.15,4394.26,4396.15,14.6,1.10,0.70,0.40,BE_PROTECTED,4773.90
2026-09-08 14:51:29.397,360287970300000300,360287970300000297,A,SELL,0.1,4392.57,4392.69,4390.57,4392.69,0.5,-1.20,0.70,-1.90,STOP_LOSS,4772.00
2026-09-08 14:56:36.913,360287970300000310,360287970300000308,A,SELL,0.1,4394.10,4394.22,4392.10,4394.22,2.0,-1.20,0.70,-1.90,STOP_LOSS,4770.10
2026-09-08 15:10:37.076,360287970300000323,360287970300000322,A,BUY,0.1,4405.43,4405.93,4407.43,4405.93,16.6,5.00,0.70,4.30,RATCHET_WIN,4774.40
2026-09-08 15:15:21.939,360287970300000342,360287970300000335,A,BUY,0.1,4405.91,4405.79,4407.91,4405.79,1.5,-1.20,0.70,-1.90,STOP_LOSS,4772.50
2026-09-08 15:25:44.908,360287970300000358,360287970300000349,A,BUY,0.1,4404.34,4404.22,4406.34,4404.22,0.5,-1.20,0.70,-1.90,STOP_LOSS,4770.60
2026-09-08 15:30:21.271,360287970300000368,360287970300000367,A,BUY,0.1,4401.15,4401.03,4403.15,4401.03,1.0,-1.20,0.70,-1.90,STOP_LOSS,4768.70
2026-09-08 15:44:29.865,360287970300000387,360287970300000381,A,BUY,0.1,4401.04,4400.92,4403.04,4400.92,1.0,-1.20,0.70,-1.90,STOP_LOSS,4766.80
2026-09-08 15:47:00.358,360287970300000404,360287970300000398,A,SELL,0.1,4397.59,4397.71,4395.59,4397.71,2.0,-1.20,0.70,-1.90,STOP_LOSS,4764.90
2026-09-08 15:51:48.724,360287970300000421,360287970300000417,A,SELL,0.1,4397.88,4398.00,4395.88,4398.00,11.0,-1.20,0.70,-1.90,STOP_LOSS,4763.00
2026-09-08 15:58:32.456,360287970300000435,360287970300000432,A,SELL,0.1,4398.27,4397.27,4396.27,4397.27,94.3,10.00,0.70,9.30,RATCHET_WIN,4772.30
2026-09-08 16:00:34.344,360287970300000452,360287970300000448,A,SELL,0.1,4394.05,4394.17,4392.05,4394.17,14.0,-1.20,0.70,-1.90,STOP_LOSS,4770.40
2026-09-08 16:05:28.280,360287970300000458,360287970300000456,A,SELL,0.1,4393.84,4393.96,4391.84,4393.96,5.0,-1.20,0.70,-1.90,STOP_LOSS,4768.50
2026-09-08 16:12:36.102,360287970300000475,360287970300000469,A,SELL,0.1,4382.17,4382.06,4380.17,4382.06,4.0,1.10,0.70,0.40,BE_PROTECTED,4768.90
2026-09-08 16:16:29.798,360287970300000489,360287970300000488,A,SELL,0.1,4385.36,4385.48,4383.36,4385.48,3.5,-1.20,0.70,-1.90,STOP_LOSS,4767.00
2026-09-08 16:21:21.700,360287970300000504,360287970300000495,A,SELL,0.1,4387.27,4387.39,4385.27,4387.39,1.0,-1.20,0.70,-1.90,STOP_LOSS,4765.10
2026-09-08 16:25:43.032,360287970300000521,360287970300000518,A,SELL,0.1,4391.56,4391.45,4389.56,4391.45,8.0,1.10,0.70,0.40,BE_PROTECTED,4765.50
2026-09-08 16:45:27.258,360287970300000541,360287970300000533,A,SELL,0.1,4393.09,4393.21,4391.09,4393.21,6.5,-1.20,0.70,-1.90,STOP_LOSS,4763.60
2026-09-08 16:51:48.987,360287970300000556,360287970300000551,A,SELL,0.1,4393.35,4393.47,4391.35,4393.47,2.5,-1.20,0.70,-1.90,STOP_LOSS,4761.70
2026-09-08 16:59:22.925,360287970300000566,360287970300000560,A,SELL,0.1,4393.24,4391.24,4391.24,4392.24,1.5,20.00,0.70,19.30,WIN_TP,4781.00
2026-09-08 17:05:41.115,360287970300000579,360287970300000576,A,BUY,0.1,4402.94,4403.05,4404.94,4403.05,9.0,1.10,0.70,0.40,BE_PROTECTED,4781.40
2026-09-08 17:10:24.513,360287970300000590,360287970300000585,A,BUY,0.1,4398.16,4398.04,4400.16,4398.04,1.5,-1.20,0.70,-1.90,STOP_LOSS,4779.50
2026-09-08 17:15:24.476,360287970300000604,360287970300000597,A,BUY,0.1,4396.20,4396.08,4398.20,4396.08,4.0,-1.20,0.70,-1.90,STOP_LOSS,4777.60
2026-09-08 17:20:58.073,360287970300000619,360287970300000616,A,SELL,0.1,4394.39,4394.51,4392.39,4394.51,1.0,-1.20,0.70,-1.90,STOP_LOSS,4775.70
2026-09-08 17:25:22.341,360287970300000640,360287970300000635,A,SELL,0.1,4393.05,4393.17,4391.05,4393.17,2.0,-1.20,0.70,-1.90,STOP_LOSS,4773.80
