trade_num,timestamp_utc,timestamp_est,track,side,qty,entry_price,sl_price,tp_price,exit_price,duration_sec,gross_pnl,commission,net_pnl,balance,buffer_to_floor,outcome
20,2026-09-04 11:49:20,07:49:20 AM,Track A,SELL,0.1,4468.43,4468.58,4466.43,4467.68,49,7.50,0.70,6.80,4855.86,155.86,RATCHET_WIN
21,2026-09-04 11:52:50,07:52:50 AM,Track A,SELL,0.1,4468.49,4468.64,4466.49,4466.49,1,20.00,0.70,19.30,4875.16,175.16,WIN_TP
22,2026-09-04 11:58:40,07:58:40 AM,Track A,SELL,0.1,4468.66,4468.81,4466.66,4466.66,21,20.00,0.70,19.30,4894.46,194.46,WIN_TP
23,2026-09-04 12:01:20,08:01:20 AM,Track A,SELL,0.1,4467.52,4467.67,4465.52,4465.52,57,20.00,0.70,19.30,4913.76,213.76,WIN_TP
24,2026-09-04 12:06:20,08:06:20 AM,Track A,SELL,0.1,4468.51,4468.66,4466.51,4468.44,8,0.70,0.70,0.00,4913.76,213.76,BE_PROTECTED
25,2026-09-04 12:10:43,08:10:43 AM,Track A,SELL,0.1,4467.41,4467.56,4465.41,4467.34,57,0.70,0.70,0.00,4913.76,213.76,BE_PROTECTED
26,2026-09-04 12:16:30,08:16:30 AM,Track A,SELL,0.1,4466.26,4466.41,4464.26,4466.41,13,-1.50,0.70,-2.20,4911.56,211.56,STOP_LOSS
27,2026-09-04 12:20:24,08:20:24 AM,Track A,SELL,0.1,4467.46,4467.61,4465.46,4465.46,10,20.00,0.70,19.30,4930.86,230.86,WIN_TP
28,2026-09-04 12:25:20,08:25:20 AM,Track A,SELL,0.1,4467.91,4468.06,4465.91,4468.06,3,-1.50,0.70,-2.20,4928.66,228.66,STOP_LOSS
29,2026-09-04 12:30:20,08:30:20 AM,Track A,SELL,0.1,4406.65,4406.80,4404.65,4404.65,1,20.00,0.70,19.30,4947.96,247.96,WIN_TP
30,2026-09-04 12:33:39,08:33:39 AM,Track A,BUY,0.1,4400.74,4400.59,4402.74,4400.59,1,-1.50,0.70,-2.20,4945.76,245.76,STOP_LOSS
31,2026-09-04 12:33:39,08:33:39 AM,Track A,SELL,0.1,4400.74,4400.89,4398.74,4398.74,1,20.00,0.70,19.30,4965.06,265.06,WIN_TP
32,2026-09-04 12:35:21,08:35:21 AM,Track A,SELL,0.1,4401.15,4401.30,4399.15,4399.15,1,20.00,0.70,19.30,4984.36,284.36,WIN_TP
33,2026-09-04 12:40:20,08:40:20 AM,Track A,SELL,0.1,4388.18,4388.33,4386.18,4386.18,1,20.00,0.70,19.30,5003.66,303.66,WIN_TP
34,2026-09-04 12:45:24,08:45:24 AM,Track A,SELL,0.1,4391.03,4391.18,4389.03,4389.03,1,20.00,0.70,19.30,5022.96,322.96,WIN_TP
35,2026-09-04 12:50:56,08:50:56 AM,Track A,SELL,0.1,4397.46,4397.61,4395.46,4397.61,1,-1.50,0.70,-2.20,5020.76,320.76,STOP_LOSS
36,2026-09-04 12:56:21,08:56:21 AM,Track A,SELL,0.1,4404.82,4404.97,4402.82,4402.82,1,20.00,0.70,19.30,5040.06,340.06,WIN_TP
37,2026-09-04 13:00:20,09:00:20 AM,Track A,SELL,0.1,4378.60,4378.75,4376.60,4376.60,1,20.00,0.70,19.30,5059.36,359.36,WIN_TP
38,2026-09-04 13:08:20,09:08:20 AM,Track A,SELL,0.1,4384.32,4384.47,4382.32,4382.32,1,20.00,0.70,19.30,5078.66,378.66,WIN_TP
39,2026-09-04 13:10:20,09:10:20 AM,Track A,SELL,0.1,4387.05,4387.20,4385.05,4385.05,1,20.00,0.70,19.30,5097.96,397.96,WIN_TP
40,2026-09-04 13:15:47,09:15:47 AM,Track A,SELL,0.1,4393.41,4393.56,4391.41,4392.66,3,7.50,0.70,6.80,5104.76,404.76,RATCHET_WIN
41,2026-09-04 13:20:23,09:20:23 AM,Track A,SELL,0.1,4398.51,4398.66,4396.51,4398.44,10,0.70,0.70,0.00,5104.76,404.76,BE_PROTECTED
42,2026-09-04 13:41:20,09:41:20 AM,Track A,SELL,0.1,4406.16,4406.31,4404.16,4404.16,1,20.00,0.70,19.30,5124.06,424.06,WIN_TP
43,2026-09-04 13:58:56,09:58:56 AM,Track A,SELL,0.1,4415.94,4416.09,4413.94,4413.94,1,20.00,0.70,19.30,5143.36,443.36,WIN_TP
44,2026-09-04 14:01:31,10:01:31 AM,Track A,SELL,0.1,4415.82,4415.97,4413.82,4413.82,9,20.00,0.70,19.30,5162.66,462.66,WIN_TP
45,2026-09-04 14:06:37,10:06:37 AM,Track A,SELL,0.1,4416.84,4416.99,4414.84,4414.84,1,20.00,0.70,19.30,5181.96,481.96,WIN_TP
46,2026-09-04 14:15:20,10:15:20 AM,Track A,BUY,0.1,4430.42,4430.27,4432.42,4432.42,1,20.00,0.70,19.30,5201.26,501.26,WIN_TP
47,2026-09-04 14:21:34,10:21:34 AM,Track A,BUY,0.1,4431.79,4431.64,4433.79,4431.64,7,-1.50,0.70,-2.20,5199.06,499.06,STOP_LOSS
48,2026-09-04 14:25:40,10:25:40 AM,Track A,BUY,0.1,4428.16,4428.01,4430.16,4430.16,5,20.00,0.70,19.30,5218.36,518.36,WIN_TP
49,2026-09-04 14:30:22,10:30:22 AM,Track A,BUY,0.1,4430.93,4430.78,4432.93,4432.93,1,20.00,0.70,19.30,5237.66,537.66,WIN_TP
50,2026-09-04 14:35:20,10:35:20 AM,Track A,BUY,0.1,4441.13,4440.98,4443.13,4443.13,17,20.00,0.70,19.30,5256.96,556.96,WIN_TP
51,2026-09-04 14:40:22,10:40:22 AM,Track A,BUY,0.1,4429.95,4429.80,4431.95,4430.70,10,7.50,0.70,6.80,5263.76,563.76,RATCHET_WIN
52,2026-09-04 14:46:20,10:46:20 AM,Track A,BUY,0.1,4431.52,4431.37,4433.52,4432.27,2,7.50,0.70,6.80,5270.56,570.56,RATCHET_WIN
53,2026-09-04 14:50:24,10:50:24 AM,Track A,BUY,0.1,4428.25,4428.10,4430.25,4428.10,1,-1.50,0.70,-2.20,5268.36,568.36,STOP_LOSS
54,2026-09-04 14:58:30,10:58:30 AM,Track A,BUY,0.1,4425.51,4425.36,4427.51,4427.51,22,20.00,0.70,19.30,5287.66,587.66,WIN_TP
55,2026-09-04 15:04:21,11:04:21 AM,Track A,BUY,0.1,4426.21,4426.06,4428.21,4428.21,1,20.00,0.70,19.30,5306.96,606.96,WIN_TP
56,2026-09-04 15:05:20,11:05:20 AM,Track A,BUY,0.1,4431.34,4431.19,4433.34,4433.34,17,20.00,0.70,19.30,5326.26,626.26,WIN_TP
57,2026-09-04 15:11:22,11:11:22 AM,Track A,BUY,0.1,4437.38,4437.23,4439.38,4439.38,16,20.00,0.70,19.30,5345.56,645.56,WIN_TP
58,2026-09-04 15:15:31,11:15:31 AM,Track A,BUY,0.1,4442.42,4442.27,4444.42,4443.17,9,7.50,0.70,6.80,5352.36,652.36,RATCHET_WIN
59,2026-09-04 15:21:24,11:21:24 AM,Track A,BUY,0.1,4447.26,4447.11,4449.26,4448.01,8,7.50,0.70,6.80,5359.16,659.16,RATCHET_WIN
60,2026-09-04 15:25:20,11:25:20 AM,Track A,BUY,0.1,4444.40,4444.25,4446.40,4446.40,12,20.00,0.70,19.30,5378.46,678.46,WIN_TP
61,2026-09-04 15:30:31,11:30:31 AM,Track A,BUY,0.1,4440.69,4440.54,4442.69,4442.69,15,20.00,0.70,19.30,5397.76,697.76,WIN_TP
62,2026-09-04 15:35:38,11:35:38 AM,Track A,BUY,0.1,4439.76,4439.61,4441.76,4439.61,1,-1.50,0.70,-2.20,5395.56,695.56,STOP_LOSS
63,2026-09-04 15:41:20,11:41:20 AM,Track A,BUY,0.1,4439.52,4439.37,4441.52,4441.52,11,20.00,0.70,19.30,5414.86,714.86,WIN_TP
64,2026-09-04 15:45:27,11:45:27 AM,Track A,BUY,0.1,4443.08,4442.93,4445.08,4443.15,36,0.70,0.70,0.00,5414.86,714.86,BE_PROTECTED
65,2026-09-04 15:50:20,11:50:20 AM,Track A,BUY,0.1,4444.24,4444.09,4446.24,4444.99,33,7.50,0.70,6.80,5421.66,721.66,RATCHET_WIN
66,2026-09-04 15:55:20,11:55:20 AM,Track A,BUY,0.1,4440.38,4440.23,4442.38,4441.13,42,7.50,0.70,6.80,5428.46,728.46,RATCHET_WIN
67,2026-09-04 16:00:37,12:00:37 PM,Track A,BUY,0.1,4439.05,4438.90,4441.05,4441.05,1,20.00,0.70,19.30,5447.76,747.76,WIN_TP
68,2026-09-04 16:05:20,12:05:20 PM,Track A,BUY,0.1,4439.79,4439.64,4441.79,4439.64,2,-1.50,0.70,-2.20,5445.56,745.56,STOP_LOSS
69,2026-09-04 16:14:25,12:14:25 PM,Track A,BUY,0.1,4438.07,4437.92,4440.07,4438.82,35,7.50,0.70,6.80,5452.36,752.36,RATCHET_WIN
70,2026-09-04 16:15:25,12:15:25 PM,Track A,BUY,0.1,4438.62,4438.47,4440.62,4438.47,2,-1.50,0.70,-2.20,5450.16,750.16,STOP_LOSS
71,2026-09-04 16:21:21,12:21:21 PM,Track A,BUY,0.1,4441.34,4441.19,4443.34,4441.41,12,0.70,0.70,0.00,5450.16,750.16,BE_PROTECTED
72,2026-09-04 16:33:50,12:33:50 PM,Track A,BUY,0.1,4437.78,4437.63,4439.78,4439.78,1,20.00,0.70,19.30,5469.46,769.46,WIN_TP
73,2026-09-04 16:40:34,12:40:34 PM,Track A,BUY,0.1,4437.59,4437.44,4439.59,4437.44,3,-1.50,0.70,-2.20,5467.26,767.26,STOP_LOSS
74,2026-09-04 16:45:25,12:45:25 PM,Track A,BUY,0.1,4438.78,4438.63,4440.78,4439.53,27,7.50,0.70,6.80,5474.06,774.06,RATCHET_WIN
